"from","to"
"cel00310","CELE_Y41D4B.12"
"cel00310","CELE_Y69F12A.2"
"cel00310","CELE_ZK836.2"
"cel00330","CELE_B0513.5"
"cel00330","CELE_C14F11.1"
"cel00330","CELE_C16A3.10"
"cel00330","CELE_C44E4.3"
"cel00330","CELE_F01F1.6"
"cel00330","CELE_F32B5.1"
"cel00330","CELE_F35G2.4"
"cel00330","CELE_F38H4.5"
"cel00330","CELE_F42G9.5"
"cel00330","CELE_F44G3.2"
"cel00330","CELE_F46H5.3"
"cel00330","CELE_F47G4.7"
"cel00330","CELE_F53F10.2"
"cel00330","CELE_F54D8.3"
"cel00330","CELE_F55G1.9"
"cel00330","CELE_F56D12.1"
"cel00330","CELE_K04F1.15"
"cel00330","CELE_K11C4.4"
"cel00330","CELE_M153.1"
"cel00330","CELE_T01C8.5"
"cel00330","CELE_T05H4.13"
"cel00330","CELE_T08B1.3"
"cel00330","CELE_T22B7.3"
"cel00330","CELE_T22H6.2"
"cel00330","CELE_W10C8.5"
"cel00330","CELE_Y46G5A.19"
"cel00330","CELE_Y47D3B.10"
"cel00330","CELE_Y69A2AR.5"
"cel00330","CELE_Y69F12A.2"
"cel00330","CELE_ZC434.8"
"cel00330","CELE_ZK1307.1"
"cel00340","CELE_F01F1.6"
"cel00340","CELE_F42G9.5"
"cel00340","CELE_F47B10.2"
"cel00340","CELE_F54D8.3"
"cel00340","CELE_K04F1.15"
"cel00340","CELE_T05H4.13"
"cel00340","CELE_T08B1.3"
"cel00340","CELE_T12A2.1"
"cel00340","CELE_Y48E1C.2"
"cel00340","CELE_Y51H4A.7"
"cel00340","CELE_Y69F12A.2"
"cel00350","CELE_B0222.9"
"cel00350","CELE_B0432.5"
"cel00350","CELE_C05D2.3"
