"Gene","log2FC","padj","contrast","pathway_id","pathway_name"
"K02D10.5",1.06648948325155,2.07407262502937e-15,"N2: Treated vs Untreated","cel04142","Lysosome biogenesis"
"R107.7",3.23942285702444,2.86511854951352e-154,"N2: Treated vs Untreated","cel00480","Glutathione metabolism"
"R107.7",3.23942285702444,2.86511854951352e-154,"N2: Treated vs Untreated","cel00980","Metabolism of xenobiotics by cytochrome P450"
"R107.7",3.23942285702444,2.86511854951352e-154,"N2: Treated vs Untreated","cel00982","Drug metabolism - cytochrome P450"
"R107.7",3.23942285702444,2.86511854951352e-154,"N2: Treated vs Untreated","cel00983","Drug metabolism - other enzymes"
"R107.7",3.23942285702444,2.86511854951352e-154,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"K04H4.6",-2.176170533564,6.80214148598022e-06,"N2: Treated vs Untreated","cel04142","Lysosome biogenesis"
"F55H2.1",1.94551697385802,5.07183729186582e-31,"N2: Treated vs Untreated","cel04146","Peroxisome"
"F55H2.1",1.94551697385802,5.07183729186582e-31,"N2: Treated vs Untreated","cel04213","Longevity regulating pathway - multiple species"
"C48B4.1",-1.42848822373398,8.82257073420607e-20,"N2: Treated vs Untreated","cel00071","Fatty acid degradation"
"C48B4.1",-1.42848822373398,8.82257073420607e-20,"N2: Treated vs Untreated","cel00410","beta-Alanine metabolism"
"C48B4.1",-1.42848822373398,8.82257073420607e-20,"N2: Treated vs Untreated","cel00592","alpha-Linolenic acid metabolism"
"C48B4.1",-1.42848822373398,8.82257073420607e-20,"N2: Treated vs Untreated","cel00640","Propanoate metabolism"
"C48B4.1",-1.42848822373398,8.82257073420607e-20,"N2: Treated vs Untreated","cel01040","Biosynthesis of unsaturated fatty acids"
"C48B4.1",-1.42848822373398,8.82257073420607e-20,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"C48B4.1",-1.42848822373398,8.82257073420607e-20,"N2: Treated vs Untreated","cel01200","Carbon metabolism"
"C48B4.1",-1.42848822373398,8.82257073420607e-20,"N2: Treated vs Untreated","cel01212","Fatty acid metabolism"
"C48B4.1",-1.42848822373398,8.82257073420607e-20,"N2: Treated vs Untreated","cel04146","Peroxisome"
"ZK632.4",1.6353035101833,1.77252933047071e-13,"N2: Treated vs Untreated","cel00051","Fructose and mannose metabolism"
"ZK632.4",1.6353035101833,1.77252933047071e-13,"N2: Treated vs Untreated","cel00520","Amino sugar and nucleotide sugar metabolism"
"ZK632.4",1.6353035101833,1.77252933047071e-13,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"ZK632.4",1.6353035101833,1.77252933047071e-13,"N2: Treated vs Untreated","cel01240","Biosynthesis of cofactors"
"ZK632.4",1.6353035101833,1.77252933047071e-13,"N2: Treated vs Untreated","cel01250","Biosynthesis of nucleotide sugars"
"R10E12.1",1.69677616802444,4.31968900373506e-07,"N2: Treated vs Untreated","cel03250","Viral life cycle - HIV-1"
"R10E12.1",1.69677616802444,4.31968900373506e-07,"N2: Treated vs Untreated","cel03272","Virion - Hepatitis viruses"
"R10E12.1",1.69677616802444,4.31968900373506e-07,"N2: Treated vs Untreated","cel04144","Endocytosis"
"C38H2.2",1.42964247333777,4.54076601557034e-12,"N2: Treated vs Untreated","cel00512","Mucin type O-glycan biosynthesis"
"C38H2.2",1.42964247333777,4.54076601557034e-12,"N2: Treated vs Untreated","cel00514","Other types of O-glycan biosynthesis"
"C38H2.2",1.42964247333777,4.54076601557034e-12,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"Y48A6B.9",-1.39307016593636,6.18403126255047e-08,"N2: Treated vs Untreated","cel00061","Fatty acid biosynthesis"
"Y48A6B.9",-1.39307016593636,6.18403126255047e-08,"N2: Treated vs Untreated","cel00062","Fatty acid elongation"
"Y48A6B.9",-1.39307016593636,6.18403126255047e-08,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"Y48A6B.9",-1.39307016593636,6.18403126255047e-08,"N2: Treated vs Untreated","cel01212","Fatty acid metabolism"
"Y47D3A.16",1.64659456531888,4.02395612147665e-06,"N2: Treated vs Untreated","cel04140","Autophagy - animal"
"Y47D3A.16",1.64659456531888,4.02395612147665e-06,"N2: Treated vs Untreated","cel04150","mTOR signaling pathway"
"Y47D3A.16",1.64659456531888,4.02395612147665e-06,"N2: Treated vs Untreated","cel04212","Longevity regulating pathway - worm"
"Y47D3A.16",1.64659456531888,4.02395612147665e-06,"N2: Treated vs Untreated","cel04213","Longevity regulating pathway - multiple species"
"Y47D3A.16",1.64659456531888,4.02395612147665e-06,"N2: Treated vs Untreated","cel04350","TGF-beta signaling pathway"
"Y47D3A.16",1.64659456531888,4.02395612147665e-06,"N2: Treated vs Untreated","cel04361","Axon regeneration"
"Y41C4A.2",-1.50063203793414,6.13637809900093e-05,"N2: Treated vs Untreated","cel04361","Axon regeneration"
"Y56A3A.21",-1.03421226784192,5.6974590548154e-11,"N2: Treated vs Untreated","cel04141","Protein processing in endoplasmic reticulum"
"Y56A3A.33",3.35256651905225,1.34443540574146e-27,"N2: Treated vs Untreated","cel03008","Ribosome biogenesis in eukaryotes"
"Y43F4B.5",-1.1795226908843,4.896741290437e-17,"N2: Treated vs Untreated","cel00010","Glycolysis / Gluconeogenesis"
"Y43F4B.5",-1.1795226908843,4.896741290437e-17,"N2: Treated vs Untreated","cel00030","Pentose phosphate pathway"
"Y43F4B.5",-1.1795226908843,4.896741290437e-17,"N2: Treated vs Untreated","cel00052","Galactose metabolism"
"Y43F4B.5",-1.1795226908843,4.896741290437e-17,"N2: Treated vs Untreated","cel00230","Purine metabolism"
"Y43F4B.5",-1.1795226908843,4.896741290437e-17,"N2: Treated vs Untreated","cel00500","Starch and sucrose metabolism"
"Y43F4B.5",-1.1795226908843,4.896741290437e-17,"N2: Treated vs Untreated","cel00520","Amino sugar and nucleotide sugar metabolism"
"Y43F4B.5",-1.1795226908843,4.896741290437e-17,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"Y43F4B.5",-1.1795226908843,4.896741290437e-17,"N2: Treated vs Untreated","cel01250","Biosynthesis of nucleotide sugars"
"T03F6.1",-1.22575316360648,4.94573382051358e-12,"N2: Treated vs Untreated","cel00790","Folate biosynthesis"
