"Gene","lfc_treat_N2","lfc_treat_RB","lfc_geno_unt","lfc_geno_trt","lfc_gxe","padj_treat_N2","padj_treat_RB","padj_geno_unt","padj_geno_trt","padj_gxe"
"Y95B8A.1",-0.0716333128484079,0.0425827283100418,0.453582275327422,0.567798316485872,0.11421604115845,0.854947267030601,0.901487696398498,0.469736723510797,0.0621380263096788,0.905829335127321
"Y34D9B.1",-0.661532969657246,-0.174011007036537,-0.238943287287112,0.248578675333596,0.487521962620708,0.0529523655244074,0.671748779887414,0.999661050265277,0.609342318650388,0.650384208717358
"F54A5.2",-0.369753337274222,-0.13277371367619,0.299853311645439,0.536832935243471,0.236979623598032,0.334706745152183,0.745423344505453,0.999661050265277,0.197884372660544,0.842591272073175
"F54A5.3",-0.629626589871613,-0.585760894803837,0.0574402623248079,0.101305957392584,0.0438656950677758,0.0195102180447913,0.0321169621384528,0.999661050265277,0.820768756483461,0.971670277048024
"F54A5.1",-1.71106548215065,-1.32555234721496,-0.198090478798453,0.187422656137244,0.385513134935697,2.24386792588951e-09,1.22822583370519e-05,0.999661050265277,0.716012795955908,0.735776867576336
"C54G6.3",-0.58447159767467,-0.432915838148377,0.0225976270099149,0.174153386536208,0.151555759526293,0.233004870140232,0.379496909912628,0.999661050265277,0.806522531423927,0.933912113891728
"C54G6.2",-0.623884777442822,0.993359426626939,-0.454768592190742,1.16247561187902,1.61724420406976,0.663618823218634,0.381583719862347,0.999661050265277,NA,0.61303742698438
"Y34D9A.1",0.229922584810494,0.338130507719103,0.0597408953214807,0.16794881823009,0.108207922908609,0.423526968609769,0.161506632057218,0.999661050265277,0.616415219006168,0.905829335127321
"Y34D9A.4",-0.0399135726286741,0.126433374828215,-0.111686144097385,0.0546608033595044,0.166346947456889,0.875625013159321,0.485012001505046,0.999661050265277,0.832531252362982,0.75787056253477
"Y34D9A.3",-0.624317861759659,-0.500802343083582,-0.183605451494128,-0.0600899328180515,0.123515518676076,0.00391340139278184,0.0310123605356051,0.999661050265277,0.880153410039047,0.890550967207056
"Y34D9A.7",1.72409035152065,1.91115532420269,0.0816676322373437,0.268732604919391,0.187064972682047,1.3790540331593e-13,2.61448098401018e-16,0.999661050265277,0.479166509963952,0.854179579944221
"Y34D9A.6",3.4624608834336,4.21358549880227,-0.154619108135202,0.596505507233467,0.751124615368669,4.70872301744857e-26,4.5920441094615e-38,0.999661050265277,0.245971141222684,0.521059766809963
"Y34D9A.8",2.80587212366238,3.73813700631025,-0.209929093348655,0.722335789299215,0.93226488264787,1.89473902972122e-15,9.16066881987803e-27,0.999661050265277,0.178112164732628,0.446641858558696
"Y34D9A.10",0.569128124463633,0.80286530518666,0.0549896651940404,0.288726845917068,0.233737180723027,0.000885721411489192,1.09603030422526e-06,0.999661050265277,0.231321635869471,0.705731624192218
